Title,Vie_Martin,Vie_Martin,Dia_Martin,Dia_Martin,Vie_Brice,Vie_Brice,Vie_Gilles,Vie_Gilles,Vie_Martial,Vie_Martial,Vie_Nicolas,Vie_Nicolas,Vie_Jerome,Vie_Jerome,Vie_Benoit,Vie_Benoit,Vie_Alexis,Vie_Alexis
Corpus,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt
ADJord->VERcjg->PRE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->VERcjg->PROper,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
ADJord->VERinf->PONfbl,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJord->VERinf->PRE,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJord->VERppe->PRE,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ADJpos->ADJord->NOMcom,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->ADJqua->NOMcom,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADJpos->ADVgen->ADJqua,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->DETdef->NOMcom,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJpos->DETndf->NOMcom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->NOMcom->ADJind,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->NOMcom->ADJqua,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ADJpos->NOMcom->ADVgen,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ADJpos->NOMcom->ADVneg,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJpos->NOMcom->CONcoo,0,0,1,7,0,0,0,0,2,1,3,1,0,0,1,0,1,1
ADJpos->NOMcom->CONsub,0,0,1,5,0,0,0,0,2,0,2,0,0,0,1,0,0,0
ADJpos->NOMcom->DETdef,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->NOMcom->NOMpro,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->NOMcom->PONfbl,2,0,3,6,0,0,1,1,4,0,3,1,0,0,2,1,0,0
ADJpos->NOMcom->PONfrt,2,0,2,9,0,0,1,0,3,0,2,1,1,0,0,0,1,0
ADJpos->NOMcom->PRE,1,0,0,5,0,0,0,0,0,0,1,2,0,0,1,0,0,0
ADJpos->NOMcom->PROadv,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->NOMcom->PROdem,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->NOMcom->PROper,0,0,1,7,0,0,0,0,1,0,0,0,0,0,2,1,0,0
ADJpos->NOMcom->PROrel,0,0,4,4,0,0,0,0,0,0,2,2,0,0,3,5,0,0
ADJpos->NOMcom->VERcjg,3,0,4,12,0,0,0,0,3,0,2,2,0,0,1,0,1,2
ADJpos->NOMcom->VERinf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->NOMcom->VERppe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
ADJpos->NOMpro->PROrel,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->PONfbl->CONcoo,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
ADJpos->PONfbl->NOMcom,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJpos->PONfrt->CONcoo,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->PONfrt->NOMcom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJpos->PROrel->DETdef,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->PROrel->NOMcom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->VERcjg->ADVgen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ADJpos->VERcjg->CONsub,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->VERcjg->NOMcom,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->VERcjg->OUT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->VERcjg->PONfbl,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->VERcjg->PONfrt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->VERcjg->PRE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->VERcjg->VERcjg,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJpos->VERcjg->VERppe,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->VERppe->PRE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJqua->ADJcar->VERppe,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJqua->ADJind->NOMcom,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJqua->ADJind->PONfrt,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJqua->ADJpos->NOMcom,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJqua->ADJpos->PONfrt,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJqua->ADJpos->VERcjg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJqua->ADJqua->ADJqua,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJqua->ADJqua->ADVgen,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJqua->ADJqua->CONcoo,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0
ADJqua->ADJqua->CONsub,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJqua->ADJqua->DETdef,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJqua->ADJqua->DETdem,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJqua->ADJqua->NOMcom,5,2,4,1,0,0,1,1,3,2,12,4,2,0,1,1,2,0
ADJqua->ADJqua->NOMpro,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
ADJqua->ADJqua->PONfbl,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
ADJqua->ADJqua->PONfrt,0,0,5,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0
ADJqua->ADJqua->PRE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
ADJqua->ADJqua->PROper,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ADJqua->ADJqua->PROrel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJqua->ADJqua->VERcjg,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
ADJqua->ADJqua->VERinf,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJqua->ADJqua->VERppe,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
