Title,Vie_Martin,Vie_Martin,Dia_Martin,Dia_Martin,Vie_Brice,Vie_Brice,Vie_Gilles,Vie_Gilles,Vie_Martial,Vie_Martial,Vie_Nicolas,Vie_Nicolas,Vie_Jerome,Vie_Jerome,Vie_Benoit,Vie_Benoit,Vie_Alexis,Vie_Alexis
Corpus,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt
ADJpos->ADJqua->ADVgen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJpos->ADJqua->NOMcom,0,4,2,4,0,4,0,4,0,4,0,4,0,4,1,4,0,4
ADJpos->ADVgen->ADJqua,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJpos->ADVgen->NOMcom,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJpos->ADVgen->PRE,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJpos->CONsub->NOMcom,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->DETdef->NOMcom,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJpos->NOMcom->ADJind,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJpos->NOMcom->ADJqua,0,1,0,1,0,1,0,1,0,1,2,1,0,1,0,1,0,1
ADJpos->NOMcom->ADVgen,0,2,1,2,0,2,0,2,0,2,1,2,0,2,0,2,0,2
ADJpos->NOMcom->ADVneg,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1
ADJpos->NOMcom->CONcoo,0,10,1,10,0,10,0,10,0,10,0,10,0,10,1,10,0,10
ADJpos->NOMcom->CONsub,0,5,0,5,0,5,0,5,0,5,1,5,0,5,1,5,0,5
ADJpos->NOMcom->DETdef,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJpos->NOMcom->NOMpro,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJpos->NOMcom->PONfbl,0,10,1,10,0,10,0,10,0,10,0,10,0,10,1,10,0,10
ADJpos->NOMcom->PONfrt,0,10,0,10,0,10,1,10,2,10,1,10,1,10,0,10,1,10
ADJpos->NOMcom->PRE,0,7,0,7,0,7,0,7,1,7,1,7,0,7,0,7,0,7
ADJpos->NOMcom->PROadv,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJpos->NOMcom->PROdem,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJpos->NOMcom->PROper,0,8,2,8,0,8,0,8,0,8,0,8,0,8,1,8,0,8
ADJpos->NOMcom->PROrel,0,11,2,11,0,11,0,11,0,11,0,11,0,11,3,11,0,11
ADJpos->NOMcom->VERcjg,2,16,8,16,0,16,0,16,1,16,0,16,0,16,0,16,1,16
ADJpos->NOMcom->VERinf,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJpos->NOMcom->VERppe,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
ADJpos->PONfbl->CONcoo,0,1,0,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1
ADJpos->PONfbl->PROper,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ADJpos->PONfrt->NOMcom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ADJpos->PONfrt->VERcjg,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ADJpos->VERcjg->ADJqua,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->VERcjg->ADVgen,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ADJpos->VERcjg->NOMcom,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
ADJpos->VERcjg->PRE,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ADJpos->VERcjg->PROper,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
