Title,Vie_Martin,Vie_Martin,Dia_Martin,Dia_Martin,Vie_Brice,Vie_Brice,Vie_Gilles,Vie_Gilles,Vie_Martial,Vie_Martial,Vie_Nicolas,Vie_Nicolas,Vie_Jerome,Vie_Jerome,Vie_Benoit,Vie_Benoit,Vie_Alexis,Vie_Alexis
Corpus,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt,ocr,gt
Philippe,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Pierre,0,1,0,1,0,0,0,2,0,30,0,0,0,1,0,1,0,0
Placidus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
Poitevin,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Poitiers,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
Poitou,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Pol,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Pompeien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Pomponie,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Postumien,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Priscillien,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Provencel,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Puille,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refrigerius,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ringos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
Risoaudus,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Rodevaldus,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rome,0,2,0,4,0,4,0,4,0,12,0,2,0,4,0,5,0,8
Rosne,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0
Rudrich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rufus,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rurtius,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scolastica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sebasté,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sens,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Serge,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Sernandu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Severus,0,9,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Sicile,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Simplice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Sivine,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Soybre,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
Stridon,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sublacus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Suzane,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Symonide,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Synaÿ,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Syrie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terracine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
